question_id,question,option_a,option_b,option_c,option_d,correct_answer,is_hard
32,Who is the Commander in Chief of the military?,The Secretary of Defense,The Vice President,The President,The Chairman of the Joint Chiefs,c,FALSE
33,Who signs bills to become laws?,The Chief Justice,The Vice President,The President,The Speaker of the House,c,FALSE
34,Who vetoes bills?,The Chief Justice,The Vice President,The President,The Speaker of the House,c,FALSE
35,What does the President's Cabinet do?,Advises the President,Makes laws,Commands the military,Interprets laws,a,FALSE
36,What are two Cabinet-level positions?,Secretary of State and Secretary of Defense,Speaker of the House and Chief Justice,Senator and Representative,Governor and Mayor,a,FALSE
37,What does the judicial branch do?,Reviews laws and explains laws,Writes laws,Enforces laws,Creates taxes,a,FALSE
38,What is the highest court in the United States?,The Federal Court,The Supreme Court,The District Court,The Court of Appeals,b,FALSE
39,How many justices are on the Supreme Court?,7,9,11,13,b,FALSE
40,Who is the Chief Justice of the United States now?,Answers will vary,John Roberts,Clarence Thomas,Sonia Sotomayor,a,TRUE
41,Under our Constitution some powers belong to the federal government. What is one power of the federal government?,To provide schooling and education,To provide protection (police),To provide safety (fire departments),To print money,d,FALSE
42,Under our Constitution some powers belong to the states. What is one power of the states?,To print money,To declare war,To provide schooling and education,To make treaties,c,FALSE
43,Who is the Governor of your state now?,Answers will vary,Andrew Cuomo,Gavin Newsom,Ron DeSantis,a,TRUE
44,What is the capital of your state?,Answers will vary,New York City,Los Angeles,Chicago,a,TRUE
45,What are the two major political parties in the United States?,Democratic and Republican,Liberal and Conservative,Federalist and Anti-Federalist,Green and Libertarian,a,FALSE
46,What is the political party of the President now?,Answers will vary,Democratic,Republican,Independent,a,TRUE
47,What is the name of the Speaker of the House of Representatives now?,Answers will vary,Nancy Pelosi,Kevin McCarthy,Mike Johnson,a,TRUE
48,There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens eighteen and older can vote,Only men can vote,Only property owners can vote,Only citizens born in the U.S. can vote,a,FALSE
49,What is one responsibility that is only for United States citizens?,Pay taxes,Serve on a jury,Obey laws,Attend school,b,FALSE
50,Name one right only for United States citizens.,Freedom of speech,Vote in a federal election,Freedom of religion,Right to bear arms,b,FALSE
51,What are two rights of everyone living in the United States?,Freedom of speech and freedom of religion,Vote and run for office,Own property and bear arms,Travel freely and work,a,FALSE
52,What do we show loyalty to when we say the Pledge of Allegiance?,The President,The flag and the United States,The Constitution,The military,b,FALSE
53,What is one promise you make when you become a United States citizen?,To pay taxes every year,To give up loyalty to other countries,To serve in the military,To vote in every election,b,FALSE
54,How old do citizens have to be to vote for President?,16,18,21,25,b,FALSE
55,What are two ways that Americans can participate in their democracy?,Vote and join a political party,Pay taxes and obey laws,Work and go to school,Travel and own property,a,FALSE
56,When is the last day you can send in federal income tax forms?,January 1,April 15,June 30,December 31,b,FALSE
57,When must all men register for the Selective Service?,At age sixteen,At age eighteen,Between eighteen and twenty-six,At age twenty-one,c,FALSE
58,What is one reason colonists came to America?,Freedom,Gold,Land,All of the above,d,FALSE
59,Who lived in America before the Europeans arrived?,No one,Native Americans,The Pilgrims,The Vikings,b,FALSE
60,What group of people was taken to America and sold as slaves?,Native Americans,English settlers,Africans,Chinese immigrants,c,FALSE
61,Why did the colonists fight the British?,Because of high taxes and lack of self-government,Because they wanted to keep slavery,Because they wanted to expand west,Because of religious differences,a,FALSE
62,Who wrote the Declaration of Independence?,George Washington,Thomas Jefferson,Benjamin Franklin,John Adams,b,FALSE
63,When was the Declaration of Independence adopted?,July 4 1776,July 4 1787,September 17 1787,June 21 1788,a,FALSE
64,There were 13 original states. Name three.,New York New Jersey and Pennsylvania,California Texas and Florida,Ohio Indiana and Illinois,Virginia North Carolina and Georgia,a,FALSE
65,What happened at the Constitutional Convention?,The Constitution was written,The Declaration of Independence was signed,The Bill of Rights was added,The Revolutionary War ended,a,FALSE
66,When was the Constitution written?,1776,1787,1791,1800,b,FALSE
67,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,Thomas Jefferson,George Washington,James Madison,Patrick Henry,c,FALSE
68,What is one thing Benjamin Franklin is famous for?,First President of the United States,U.S. diplomat and oldest member of the Constitutional Convention,Author of the Federalist Papers,Commander of the Continental Army,b,FALSE
69,Who is the Father of Our Country?,Thomas Jefferson,Benjamin Franklin,George Washington,John Adams,c,FALSE
70,Who was the first President?,Thomas Jefferson,John Adams,George Washington,Benjamin Franklin,c,FALSE
71,What territory did the United States buy from France in 1803?,Alaska,Florida,The Louisiana Territory,Texas,c,FALSE
72,Name one war fought by the United States in the 1800s.,World War I,World War II,The Civil War,The Korean War,c,FALSE
73,Name the U.S. war between the North and the South.,The Revolutionary War,The Civil War,World War I,The War of 1812,b,FALSE
74,Name one problem that led to the Civil War.,Slavery and economic reasons,Religious freedom,Taxation without representation,Trade disputes,a,FALSE
75,What was one important thing that Abraham Lincoln did?,Wrote the Declaration of Independence,Freed the slaves (Emancipation Proclamation),Led the Continental Army,Was the first President,b,FALSE
76,What did the Emancipation Proclamation do?,Ended the Civil War,Freed the slaves,Granted voting rights to women,Created the Union Army,b,FALSE
77,What did Susan B. Anthony do?,Fought for women's rights and civil rights,Was the first woman elected to Congress,Wrote the Constitution,Was a spy during the Civil War,a,FALSE
78,Name one war fought by the United States in the 1900s.,The Civil War,World War I,The Revolutionary War,The War of 1812,b,FALSE
79,Who was President during World War I?,Theodore Roosevelt,Woodrow Wilson,Franklin Roosevelt,Harry Truman,b,FALSE
80,Who was President during the Great Depression and World War II?,Calvin Coolidge,Herbert Hoover,Franklin Roosevelt,Harry Truman,c,FALSE
81,Who did the United States fight in World War II?,Germany Italy and Japan,France and Britain,Russia and China,Spain and Portugal,a,FALSE
82,Before he was President Eisenhower was a general. What war was he in?,World War I,World War II,The Korean War,The Vietnam War,b,FALSE
83,During the Cold War what was the main concern of the United States?,Communism,Fascism,Terrorism,Climate change,a,FALSE
84,What movement tried to end racial discrimination?,The labor movement,The civil rights movement,The women's suffrage movement,The environmental movement,b,FALSE
85,What did Martin Luther King Jr. do?,Fought for civil rights and worked for equality for all Americans,Was the first African American President,Wrote the Constitution,Was a general in World War II,a,FALSE
86,What major event happened on September 11 2001 in the United States?,The stock market crashed,Terrorists attacked the United States,Hurricane Katrina hit,The Iraq War began,b,FALSE
87,Name one American Indian tribe in the United States.,Cherokee,Apache,Cheyenne,All of the above,d,FALSE
88,Name one of the two longest rivers in the United States.,The Rio Grande,The Mississippi River,The Hudson River,The Potomac River,b,FALSE
89,What ocean is on the West Coast of the United States?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,b,FALSE
90,What ocean is on the East Coast of the United States?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,a,FALSE
91,Name one U.S. territory.,Puerto Rico,Cuba,Canada,Mexico,a,FALSE
92,Name one state that borders Canada.,California,Texas,New York,Florida,c,FALSE
93,Name one state that borders Mexico.,California,Florida,New York,Georgia,a,FALSE
94,What is the capital of the United States?,New York City,Philadelphia,Washington D.C.,Boston,c,FALSE
95,Where is the Statue of Liberty?,New York Harbor,Washington D.C.,Boston Harbor,San Francisco Bay,a,FALSE
96,Why does the flag have 13 stripes?,Because there were 13 original colonies,Because there are 13 amendments,Because there are 13 Supreme Court justices,Because there are 13 Cabinet positions,a,FALSE
97,Why does the flag have 50 stars?,Because there are 50 states,Because there are 50 amendments,Because there are 50 senators,Because there are 50 representatives,a,FALSE
98,What is the name of the national anthem?,God Bless America,America the Beautiful,The Star-Spangled Banner,My Country Tis of Thee,c,FALSE
99,When do we celebrate Independence Day?,January 1,July 4,September 17,November 11,b,FALSE
100,Name two national U.S. holidays.,Thanksgiving and Christmas,Labor Day and Memorial Day,Independence Day and Presidents Day,All of the above,d,FALSE
